PDB_ID	Chains
1QFZ	A,B
2PYN	A,B
4OGB	A,B,C,D
5ULP	A,B
5UQ9	A,B,C,D,E,F,G,H
6A1N	A
5SPU	A,B
6CZO	A,B,C,D
2W1N	A
4Y2U	A
7DX5	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,a,b,c,d
1E8G	A,B
2FP7	A,B,C
3A1A	A
6R58	A,B,C,D,E,F,I,G
1QAF	A,B
2GEV	A
7MB7	A,B
3FLU	A,B,C,D
2ACF	A,B,C,D
3VKZ	A
5EYM	A,B
5FII	A,B,C,D
2QPL	A
5UO1	A,B
7WDR	A
6URY	A,B
3VVM	A,B
7JSU	A
2DR0	A,B,C
2ZAV	A,B
2N5T	A,B
3MV0	1,2,3,4
2ZWI	A,B
6X9K	A,C,D
6SQD	A
4P34	A
5HW5	A,B,C,D
1O07	A,B
7JUJ	A,B,C,D,E,F
1EAX	A
2IW4	A,B
4JWU	A,B,C,D
4C4S	A
3WEH	A
8EIW	A,B
1BHW	A,B,C,D
4BLX	A
4B84	A,B
7S4C	A,B
1PKK	A,B
4PB5	A,B
8DRU	A,B,C,D,E,F,G
3D8Y	A,B
1J3K	A,B,C,D
7KG7	A
5G2S	A
7L3M	A
4ZZ4	A
3UQP	A,B
3KDD	A,B
2Z9B	A
4AEE	A,B
5CEL	A,B,C
3I3M	A,B
1RTA	C,E
1RVY	A,B
3IB9	A,B
2PHO	A,B
2XJD	A
2A2R	A,B
7QBM	A,P
2W3V	A
3BI0	A,B,C,D,E
5VJ5	A,B
2IX0	A
3C6Z	A
6H91	A,B
4RS6	A,B
3SRF	C,A,B,D,E,F,G,H
5D1M	A,B
5VUW	A,B
5TF7	A
2XWJ	A,B,C,D,E,F,G,H,I,J,K,L
2GIR	A,B
1VFN	A
6LZE	A
1EAV	A,B,C,D,E,F,G,H
6BDZ	L,H,A,B,C
3HUH	A,B,C,D
3C6Y	A
3C0Y	A,B,C
1VCD	A,B
2FEQ	L,H,D
4LHQ	A,B,C,D
4FQW	A
6P3U	A
1PW8	A
2AAY	A
5SBF	A,B
4CA8	A,B
4PQG	A,B
5D6Y	A,a,B,b,C,c,D,d,E,F
1LOR	A
2ZEC	A,B,C,D
4ELG	A,B,C,D,E,F,G,H
5SYV	A,B
6BF6	A,B
3PHD	A,B,C,D,E,F,G,H
4UNP	A
1MSM	A,B
6FZ2	A,B
2DJF	A,B,C
5P16	A
2AFM	A,B
3INM	A,B,C
1FPL	A,B
1S2Y	A,B
4IEU	A
1KKJ	A
6EZ9	A,B,C,D,E
1RXF	A
6BOS	A,B,P,V
1OQ7	A,B,C,D,E,F
3A6L	A,B,C,D,E,F
3WSA	A,B,C,D,E,F
1TQU	A
1I1L	A,B,C
4HOW	A
3O1O	A,B,C
4HUT	A,B
4AKQ	A
3BV9	A,B,C
2QQF	A,B
5N31	E
1W2N	A
5TVR	A,B
1IL3	A
2CGH	A,B
3WNZ	A
4QYT	A,B,C,D
6ADI	A,B
1K9Y	A
1RAD	A,B,C,D
1P7R	A
7FAC	A
1D9F	B,A
1URB	A,B
7WTB	A,B,C,D
2J5M	A,B,C,D
2JFH	A
2ORW	A,B
5ZDR	A,B,C,D
6CGE	A,B
4Y39	A
3ZLX	A
6JFH	A,B,C,D,E,F,H,L,K,I,M,N
1O25	A,B,C,D
5G6G	A
1V8L	A
4WAB	A
4U5J	A,B
3H53	A,B,C,D,E,F
1V84	A,B,C,D
7FRC	A,B
1B9I	A
5HSR	A
5F7O	A,B,C
5JZS	A,B
5P0Z	A
1ECP	A,B,C,D,E,F
2IDJ	A,B,C,D
5F3Z	A
2OF0	A
6U9O	A,I,B,J,C,K,D,L,E,M,F,N,G,O,H,P
6XK4	A
6FOR	A
5BQH	A
3KG0	A,B,C
5M4O	A,B,C,D,E,F,G,H
5DO4	L,H,A
5C4E	A
1FUP	A,B
4OCK	A
1XFC	A,B
3EA8	A
5VJD	A,B
2PWR	A,B
5LHY	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,1,2,3,4,5,6,7,8,9,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
6B76	A,B,C,D
3VH9	A
3AF0	A
5J5Z	A,B
1C84	A
1W4W	A
4ISF	A
3LS7	A
5LHZ	A,B,C,D,E,F
5M3Z	A
5UXH	A,B
6JNJ	A,B
6DKH	A,B,C,D
9ICD	A
5HF5	A,B,C,D
5I5E	A
6L0P	A,B,C,D
3CIZ	A,B
5AB2	A,B,C,D,E,F,G,H,I,J,K,L,M,N
3ZJU	A,B
7FRQ	A
1ZFJ	A
7S1Q	A,B
1FMI	A
4EB8	A,B,C
1BKG	A,B,C,D
4JUC	A,B,C,D
5G2O	A
3BGJ	A,B
3UIE	A,B,C
5P33	A
3M9O	B,P,T
5LZ8	A
1CUV	A
5Y4J	A
6JYU	A
6LYB	A
5P44	A
4YR1	A,B
1S8C	A,B,C,D
4TPK	A,B,C,D,E,F,G,H,I,J
6M0K	A
5OTM	A,B
2IHJ	A
3N87	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
5F2S	A,B,C,D
1C88	A
6Y1P	A
7Q2L	A
2Z86	A,B,C,D
1W00	A,B
1UWY	A,B
6Y84	A
3QT7	A,B
7Y06	A
2W3S	A,B,C,D,E,F,G,H
3A47	A
2FE8	A,B,C
7ZV3	A,B
6YGP	A
6DYV	A,B
1UUM	A,B
4XEG	A,C,D
3NCL	A
6T0F	A,B,C,D
4TNU	A,B
3GGC	A,B
1I8V	A,B
5P7Q	A
3U3K	A,B
6WZU	A
5R9R	A
1D7W	A,C,B,D,E,F
7PXZ	A
1UXU	A
1ZCO	A,B
2W7K	A
3SVV	A,B
6GXK	A,B
3FQK	A,B
5X36	A
3HO8	A,D,C,B
4KN6	A
3KHU	A,B,C,D,E,F
6AD4	A,B
1Z6F	A
3R9K	A
6PNH	A,B
3DDG	A
1X98	A
3G42	A,B,C,D
1ZSN	A,B
6ST3	A,B
1S1P	A
5RSQ	A,B
7XZS	A
4IVO	B
2XMH	A,B,C,D,E,F
5QDH	A
1GU1	A,B,C,D,E,F,G,H,I,J,K,L
1AYL	A
3BL3	A
4GZG	A,B
4TMF	A,B
1R1J	A
2E2D	A,C
1IZP	A
3D98	A
2R1M	A
1YPH	A,C,E,B,D,F
1R7T	A,B
3WZ8	A
6XPT	A,B,C,E,G,H
2V6M	A,B,C,D
1DRV	A
3HCO	A,B
6T98	A
1IYL	A,B,C,D
5PK0	A
4M4S	A
2INZ	A
3CKU	A
3AHC	A
4E7D	A,B,C,D
7A97	A,B,C,D,E
1ZPK	A,B
5PJJ	A
5Y5O	A,B,C,D,E,F
5P1D	A
5PAB	H,L
6I2T	B,A,C,D,J
7O2M	A,B
4HGQ	A,B,C,D,E,F,G,H
7YHH	A,B
1Q5U	X,Y,Z
1KR2	A,B,C,D,E,F
1IHI	A,B
1HQ6	A,B,C,D
4X5F	A,B
6DPY	A,B
5R3Z	A
1S73	A
1FWR	A,B,C
5QRB	B,A
2C18	A,B
3AFO	A,B
4BK3	A
4GTW	A,B,C,D
1E9B	A
4ACX	A
3T6I	A
6SPN	A
1O90	A,B
4JTN	A
6RBC	A,B,C,D
4DVF	A,B,C,D
1UEH	A,B
7D8E	A,B,C
5Y5B	A
5V9T	A,B,G
4HMN	A
2P8H	A
2PP3	A,B,C
8EHK	A
5RBT	A
3N8Y	A,B,C,D,E,F,G
7BJ8	A
3IWB	B,A,D,C
4H5U	A,B,C,D
5R3M	A
5QAV	A,B,C,D
1G1B	A,B
8I1H	A,B
5H3F	A,B
5LIH	A,B,F,G
6NKA	A,B,C,D
1OZA	A
5SSF	A,B
3T0A	A,B,C,D
1F0K	A,B
4NER	A
5SY6	A
2XYV	A,B
7RPV	A,E,B,F,C,G,D,H
4N0M	A
1VR6	A,B,C,D
3DYN	A,B
1G93	A
6GBK	A,B
2V8D	A,B
3DNF	A,B
7EM7	A,B
5L1N	A,B
2AFN	A,B,C
1W1K	A,B
5U12	A,B
3CPP	A
1O2A	A,B,C,D
7NGP	A,B,C,D,E,F
4D85	A
5IQG	A,B,C,D
7AQI	A
1HN4	A,B
5P2I	A
7M9R	B,A
5IN3	B,A
1SSG	A,B
1WUU	A,B,C,D
1XLX	A,B
6QF2	A
1WSZ	A
4N92	B,A
3PWR	A,B
4MIG	A,B,C,D
3Q93	A,B
5O0S	A
5F19	A,B,C,D,E
6B5E	A,B,C,D,E,F,G,H
2PPF	A,B,C
6NPQ	A,B
2Q8C	A,B,F,G
3OUY	A,B,C,D
1D9E	A,B,C,D
3PP1	A
5YR6	A
3VLZ	A
3IYW	A,B,C,H,L,K,M,D,E,F
1R1I	A
5ROB	B,A
1FCB	A,B
5SPQ	A,B
1FV0	A,B
1RI3	A
6ZEG	A,C,B,D
1BLL	E,I
7E0C	A
7SF1	A
7M0X	A,B
5ZCM	A
2MZE	A
5QGB	A
5UJ0	A,B
5P5Z	A
3HJ8	A
2VTD	A
1INI	A
7RUU	A,B,C,D
3F1Q	A
5DWV	A
1I7P	A
8C71	A
5RTI	A,B
4Q19	A,B
6PA7	A,B,C,D,E,F,G,H,I,J,K,N,P,S
3ER5	E,I
7T44	A,B
5W4X	A,B,C
5RSX	A,B
7RFE	A,B,C,D,E,F,G,H
2FC2	A,B
2XY9	A,B
5QAF	A,B,C,D
1PX4	A,B,C,D
7S0U	A,B
3USB	A,B
5Y29	A
5EFU	A
1A82	A
1CV8	A
4AUC	A,B
7EIS	A,B,C
4BCD	A
5LKY	A,B,C,D
1G64	A,B
3C70	A
5C0O	E,F,G,H
1XPT	A,B
4TRN	A
7ZM4	A,B
3OLE	A,B,C,D,E
2O28	A,B
4D2R	A
7ZD2	A,B,C,D
1H84	A,B,C,D,E,F
6GG3	A,B,C,D,E,F,G,H,I,J,K,L
3X05	A,B
5RA5	A
6YVO	A
4E46	A
7QPZ	A,B
1MKI	A,B
3QEZ	A,B
6PDT	A,B,C,D
1XRH	A,B,C,D,E,F,G,H
4L41	A,C,B
1WM1	A
2FUS	A,B
2G3T	A,B
3NW7	A
1Q36	A
3RHY	A,B
6GQD	A
2YGY	A,B,C,D
4D9I	A,B
7AB9	A,B,C,D
4E5N	A,B,C,D,E,F,G,H
6QXD	A,B
1RBF	S,A
3W6M	A,B,C
3RSD	A
7TNV	A
6R4Z	A,B,D,E
1NRX	A,B
17GS	A,B
1W2A	X
6W4H	A,B
7RYB	A
4C4A	A
1JRL	A
7SUR	A
2J6H	A,B
1KHF	A
6CH0	C,F,I
6OD6	A,B,C
5SLX	D
3RRG	A,B,C
6WCZ	A,B
6AMC	A,B,C,D
1K2Y	X
3N4L	A,B,C
6F1X	A,B
2EUR	A
7R71	A,D,C
7AJV	A,B
5S3K	A,B
1FS7	A
4BQR	A,B,C,D
5PH0	A
5RUI	A,B
6PU7	A,B
1IRM	C,A,B
5RHV	A
5V4X	A
6N9Q	P,D
6BPU	A
4PGH	A,B,C,D
2JMU	A
2IGM	A,B,D,C,E,F,G,H
6QZ4	A,B
2WID	A,B,C,D
4HHJ	A
1SB1	L,H,I
6V3R	A,B,C,D,E,F,G,H
1WVA	A,B
2XAS	A,B
2JGE	A,B
2Y3Z	A
6SHY	A,B
5HAP	A,B
1QJ3	A,B
5JFD	L,H,I
7BIX	A,B,C,D,E,F,G,H,I,J,K,L
4DXC	A
6TLI	A
7A4O	A,B
5QCP	A,B,C
2NWS	A,B
3VWR	A
2AFO	A,B
6XFS	A,B,C,D
2B4K	A,B,C,D
1Z8O	A
1SCA	A
4UH5	A,B
6FCW	A
2OXU	A
5UE2	A,B
3UDH	A
6ZRU	A
7RKK	A,B
2V2D	A
5PB2	A,C
3TKY	A,B,C,D
7PVX	A,B,C,D
4D17	A
6QLM	A,B
2A8W	A
3FVU	A,B
5AEG	A,B
5DJF	A
3DD2	L,H,B
3UTH	A,B,C,D
4B6J	A,B,C,D
3X3Z	A,B
3ISS	A,B,C,D,E,F,G,H,I,J,K,L
6NO7	A,B,C,D,E,F,G,H
4IZ6	A,B
5C1G	A
3S4O	A,B
5IKI	A,B
2CZN	A
4UFA	A,B,C,D,E,F
5DW7	A
3MB2	A,B,C,D,E,F,G,H,I,J,K,L
8DKG	A,B,C,D,E
5P5X	A
7N03	A
2Y74	A,B,C,D,E,F
3ZFC	A
4W5C	A,B,C,D,E
3A9U	A
3ERY	A,B,P,Q
5KPC	A,B
2CF9	H,I,L
2GUB	A
4JUI	A,B
1NGS	A,B
3A4H	A
1M7V	A
6QAB	A,B,C,D
2VWQ	A
6LJ6	A
1B7X	A,B,C
3SBL	A
3T73	A
5S47	A,B
8DJ3	A,B
7THH	A,B,C,D,E,F
7FR8	A,B
3VZD	A,B,C,D,E,F
3N2V	A
2OYE	P,A,B,C
3O8Y	A,B
2UPJ	A,B
7Y0I	A,B
2UY9	A
3ZWT	A
4BKX	A,B
5EQA	A,B,C,D
7DE3	A
6B1O	A,B,C,D,E,F,G,H,I,J,K
1I7S	A,B,C,D
2AB4	B,A
3F1A	A
3V99	A,B
1XH2	A
4AD2	A,B,C,D
7TQ6	A,B
5P88	A
1AKZ	A
4EEM	A,B,C,D,E,F
1DEA	A,B
5QKA	A,B,C,D
8DMI	A,a,B,b,C,c,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
1XX2	A,B
4E7E	A,B,C,D
5KOC	A,B
8B7U	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
4BVS	A,B
7OY0	A
2Q9P	A
3VZN	A,B,C,D
7L1J	A,B,C,D
7SY0	B,E
3SCV	A,B,C,D,E
7XF9	A
3NL1	A
2TPL	A,B
2FYD	A,B,C,D
7O8B	A
5FP0	A
1J1I	A
3LQU	A,B
6S4E	A
1AHY	A,B
1AI3	A
6OM8	A,B,C,D,E,F,G,H,I,J,K,L
5QG1	A
3ZP4	A,B,C,D,E,F
1B78	A,B
7JZB	A,B
4TWW	A,B
3GDO	A,B
4XBT	A,B,C,D
3VWN	X
7ZI1	A
1P4Q	A,B
5R35	A
4QH9	A
3UDY	A
7BW9	A,B,C
5PKL	A
1YE6	A,B,C,D
1W3N	A,B,C,D
6Q35	A,B
1HRD	A,B,C
4EMW	A,B
6CFR	A
1U5C	A
5P8H	A
4OS3	A,B
4N4J	A
2QPU	A,B,C,D
2YR4	A,B
6QZ1	A
5QK6	A,B,C,D
5DXY	A
5H01	A,B,C,D
5NN8	A,B,C,D,E,F,G,H
2BQY	A
5P3I	A
5P8V	A
8EIY	A,B
5NOE	A,B,C,D
2AE3	A,B
8OKL	A,B
5ZUN	A
3OWP	A,B
3MW7	A,B
1MJF	A,B
1ZNQ	O,P,R,Q
2IX9	A,B
8FUZ	A,B,C,D,E,F,G,H
4NI2	A,B
2H3E	A,B,C,D
2QUV	A,B,C,D
7KQO	A,B
1NAH	A
3CBF	A,B
1KE0	A,B
1K0J	A
5P3C	A
5PMG	A
2D5Y	A
1R44	A,B,C,D,E,F
5PAD	A,I
2EQS	A
1BJX	A
4L3Q	A
6MIH	A,B,G
3D44	A,B
7WMC	A,C,E,B,D
3THS	A,B,C,D,E,F
2VFU	A
1O00	A,B,C,D,E,F,G,H
4IKR	A
6SVC	A
5M6B	B,A,C,D
1OJD	A,B,C,D,E,F,G,H,I,L
1JOA	A
5RCK	A
6RPC	A
6XPS	A,B,C
4N7V	A,B,C
1OZR	A,B
5CU5	A,B,C,D,E,F
5R24	A
5RFN	A
4NBC	A,B,C,D,E,F
2CWT	A,B
3UQF	A,B
5IQC	A,B,C,D
1ZVF	A,B
3VPL	A,B,C
5G5M	A,B
1MVS	A
1K23	A,B,C,D
7MHP	A
4L7J	A
4Y7F	A
5RSH	A,B
7QKA	A
2V7T	A,B,C
6SOI	A
4JPY	A
3D2O	A,B
1VGQ	A,B
5RC7	A
3P61	A,B
4AOX	A
6H4V	A,B,C,D
1NV2	A
5N8Q	A,B,C
6DQ4	A
5HIL	A
5P8S	A
6CH4	A,B,C,D
4OP9	A
6UGH	A,B
4GX3	A,B
5M7T	A,B
3NM5	A,B
5O3K	A,B,C,D,E,F,G,H,I,J,K,L
1GK9	A,B
2YDE	A
2PDY	A
1PWP	A,B
6FSO	A
5OXT	A,B,C
6W02	A,B
1M35	A,B,C,D,E,F
1C22	A
3G15	A,B
4DFP	A,B,C
2ZTV	A,B,C,D
2CDQ	A,B
2PLL	A,B
3L0T	A,B
3BAN	A,B
1SDW	A
3G1S	A,B
4ZO9	A,B,C,D
4MTW	E
5P5J	A
2C66	A,B
3IUH	A,B,C,D
7CJT	D,A,B,C
3GGG	D,A,B,C
6CEY	A,B,C,D
4GIK	A,B,C
4EHF	A,B
5RSM	A,B
1RWP	A,B
7NC7	A,B
4OS8	A,B
1TX0	A,B
5JZU	A,B
7THQ	B,E,A,C
1Q14	A
5Z0V	A,B,C,D,E,F,G,H
3ENL	A
6F8C	A,B
2PP1	A,B,C,D,E,F
4N2D	A
5SVF	A,C,B,D
5KE3	A
2JH6	C,D,H
5S3I	A,B
1SRL	A
2X90	A,B
1PSC	A,B
1QCZ	A
7MAI	B,A
1YT7	A
4N0Y	H,L,A
6D3F	A,B
5OEZ	A,B,C,D
1C14	A,B
5Z3W	A,B,C,D
3AI8	B,A
2HRK	A,B
3P2P	A,B
5K91	A,B,C,D
3U69	L,H
2F70	A
1GJM	A
3EKZ	A
2BHL	A,B
4FSL	A,B,D,E
6MGZ	A,B
5U0B	A,B
7BV2	A,B,C,P,T
4GEV	A,B
1GSG	T,P
1U67	A,B,C,D
1BFK	A
1GVL	A
4JZ0	A,B,C,D,E
3SW9	A,P,B,Q
1A95	A,B,C,D
2H94	A
6P0P	A,B
2B58	A
5RTV	A,B
6SYW	A
3SZW	A
2VFD	A,B
1LLB	A,B
4L6B	A
5V31	A
6FWI	A
7TA4	A,B,C,D
2YR6	A,B
5WVC	C,D,A,B,E,F
1NPZ	A,B
5V8V	A,B
4MPS	A,B
3IU7	A
3H97	A
3KBK	A
4W5B	A,B,C
5LLT	A,B
4TS5	A,B
4GUJ	A,B
4O4V	A
1LBW	A,B
1W4N	A,B
1DJE	A
2XMB	A,B,C,D
2WU3	A,B
3DY8	A,B
2AW5	A,B,C
6XOS	A
1CW1	A
1SQ7	A,B
5NIE	A,B,C
5A80	A,B
4AIC	A,B
4KJK	A
1GJR	A
3AB1	A,B
7PGA	A,B,C,D
4XFF	A
4JST	A,B
5UQU	A,B
4AJR	A
3AHW	A
2ATS	A,B
2RIZ	A
3HYX	A,B,C,D,E,F
5OFM	B,A
6F1C	A,C,D,B,E,F,G,H
3OD3	A
5RHI	A
4DUO	A
2FDJ	A
2BBO	A
7BVL	A
1FWS	A,B
4ANP	A
7P0N	A,B,C,D
4Y2R	A
2WSK	A
1JIN	A
8EIO	A,B
3R3A	A,B
3QX5	L,H,I
4X8C	A
3A8W	A,B
1T1R	A,B
6NWN	A,B,C,D
4A21	A,B,C,D
4YW9	A
1HWI	A,B,C,D
7W9V	A,B,C,D,E,F,G,H,I,J,K
1DDR	A,B
4YAW	A,B
3UKF	A,B,C,D,E,F,G,H
5ERW	A,B,C
4YSV	A
4UHX	A
1T87	A,B
6AN3	A
2I47	A,B,C,D
3DTV	A,B,C,D
1C27	A
4YCA	A,B
6TGW	A,B,C,D
1NWE	A
5S2V	A,B
4J6T	A,B
1GSS	A,B
5JPS	A
5P0J	A
5G5C	A
4ZMA	L,H,T
3NZ4	A,B
4TTS	A
3AXD	A,B
6O1V	A,B
1STQ	A
2VWT	A,B,C
4U19	A,B,C
2C90	A,B,I
4NBB	A,B,C,D,E,F
5JZ9	A,B
3VSY	A,B
3LEN	A
4YJI	A
4XPC	A,B,G
1UYV	A,B,C
3H1C	A,D,B,E,C,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y
3TVC	A
3DHB	A
1GT7	A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1NZW	A,B,C,D,E,F,G,H
5N53	B,A
4EK7	A,B
5QB0	A,B,C,D
3HSQ	A,B,C
7BUG	A,B,C
5LKX	A
5OZA	A
5Z5X	A
7X3L	A,B
4OYR	A,B,C,D
2DGL	A,B,C,D,E,F
3VVL	A,B
5HDZ	A,B
1LI0	A
6JAT	A,B,C,D
4ENU	A,B,C,D
6BTD	A
6O3R	A
1NN0	A
2JBO	A
6V25	A,C,B,D
3KHR	A,D,E,B,H,J
7C5C	A
2IWF	A,B
4CEL	A,B
4WDD	A
5ESR	A
2PH8	A
3SDB	A
2ZBM	A
2RNS	A
4P75	A,B,C,D
1GMQ	A,B
7SB7	A,B
5PJU	A
1NFB	A,B
1NC5	A
6YRY	A
1K89	A
1Y7V	A,B,C,D
1L2S	A,B
7NS7	A,B
2EZ1	A,B
1QAK	A,B
1MJ9	A
4CIV	A
5SRH	A,B
4FHB	A,D
1Q9J	A,B
5K3D	A,B
1UC9	A,B
7LD7	A,B
4PKS	A
4GSC	A,B
1TW3	A,B
5CK6	A,B
4D12	A
3E8M	A,B,C,D
2WUU	A
5KAA	A
3P7Q	E
1QFS	A
1TLS	A,B
7LFU	D,A
8CAG	A,B
2V3O	H,I,L
1GX5	A
7RFG	A,B,C,D,E,F,G,H
1TWL	A
2C4V	A
7RIG	A,B,C,D
6D1O	A,B,C,D,E,F,G,H
5I3I	A,B,C,D
6JVJ	A,B
1DP0	A,B,C,D
6TD2	A,B
4GGP	A,B,C,D
7SS8	A
1DI1	A,B
2HPV	A,B,C,D
5ZPO	A,B
5K90	A,B,C,D
1USH	A
1N8N	A
7CCP	A
2BEL	A,B,C,D
4QX4	A
7TS1	A,B,C,D
6Z0D	A
5P71	A
2CV1	C,D,A,B
5DNC	A,B,C,D
6XP0	A,B,C,D,E
5RUT	A,B
5XRV	A
6BOW	A,B,P,V
4RZ6	A,B
5EA9	A,B
4EJF	A,B,C,D,E,F,G,H
3LBO	A
8DSN	A,K
5V18	A
5CJT	A,B
4RBN	A,C,B,D
1YOO	A
1F2P	A
2A9Y	A
1Y6Q	A,B
3NZ6	X
5RCG	A
5P6P	A
2H1V	A
3CD7	A,B,C,D
7E0G	A
3OZE	A,B,C,D,E,F
2J31	A,B
4P1B	A,B,C,D,E,F,H,I
1F93	A,B,C,D,E,F,G,H
6ONM	A
1H4E	A
1EK2	A,B
3DJE	A,B
4MNE	A,B,C,D,E,F,G,H
2H7Q	A
1BSZ	A,B,C
3QFC	A,B
4WYN	A,B
2NZ5	A,B
5PN0	A
2O0L	A,B
3I58	A,B
2REN	A
3G6K	A,B,C,D,E,F
3PNQ	A,B,C,D
3G72	A,B
3PLE	A
4NHV	A,B
4EQR	A,B
6PDC	A
2AGM	A
5RGR	A
3PKA	A
1HLP	A,B
1NS3	A,B,C,D
6XMH	A,B
1S2T	A,B
3UGR	A
2W54	A,B,C,D,E,F,G,H
1RHJ	A,B,C,D
6P9S	A
6GKD	A,B,C,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,D,E,U,V,W
5TFR	A,B
5SQO	A,B
5Y0Z	A,B
